"Genotype","Animal_ID","Bin","id4_proportion"
"KO","L57343-2M",1,1.61558198735866
"KO","L57343-2M",2,1.28553998841058
"KO","L57343-2M",3,1.06302559223055
"KO","L57343-2M",4,0.910610254774201
"KO","L57343-2M",5,0.838993293579793
"KO","L57343-2M",6,0.926694258427815
"KO","L57343-2M",7,0.832446287169035
"KO","L57343-2M",8,0.877772697669551
"KO","L57343-2M",9,1.16536410151682
"KO","L57343-2M",10,1.55340825307609
"KO","L57343-6M",1,1.26229349770959
"KO","L57343-6M",2,1.28492638034301
"KO","L57343-6M",3,1.10185108326932
"KO","L57343-6M",4,0.860941573350011
"KO","L57343-6M",5,0.8612805246282
"KO","L57343-6M",6,0.836223484755824
"KO","L57343-6M",7,0.841437916550067
"KO","L57343-6M",8,0.957638266594463
"KO","L57343-6M",9,1.21678307726311
"KO","L57343-6M",10,1.31871810565817
"KO","L58201-6F",1,1.32872746414002
"KO","L58201-6F",2,1.32991183050401
"KO","L58201-6F",3,0.928938018160284
"KO","L58201-6F",4,0.929332806948283
"KO","L58201-6F",5,0.770101329122253
"KO","L58201-6F",6,0.820239505198052
"KO","L58201-6F",7,0.924595341492302
"KO","L58201-6F",8,0.860113172785893
"KO","L58201-6F",9,1.23081984471641
"KO","L58201-6F",10,1.54507171996315
"WT","L57343-3M",1,1.4206230187435
"WT","L57343-3M",2,1.16501435476986
"WT","L57343-3M",3,1.05517679693069
"WT","L57343-3M",4,0.889960323288854
"WT","L57343-3M",5,0.805604412328242
"WT","L57343-3M",6,0.844779099260903
"WT","L57343-3M",7,0.776272821878714
"WT","L57343-3M",8,0.836956194512527
"WT","L57343-3M",9,1.4023829359324
"WT","L57343-3M",10,1.46682756472827
"WT","L57343-8F",1,1.76131605184447
"WT","L57343-8F",2,1.48414755732802
"WT","L57343-8F",3,0.948953140578265
"WT","L57343-8F",4,0.8580259222333
"WT","L57343-8F",5,0.973280159521436
"WT","L57343-8F",6,0.878364905284148
"WT","L57343-8F",7,0.727617148554337
"WT","L57343-8F",8,0.904885343968096
"WT","L57343-8F",9,1.16889332003988
"WT","L57343-8F",10,1.47916251246261
"WT","L58201-5M",1,1.43334936032261
"WT","L58201-5M",2,1.0566512788909
"WT","L58201-5M",3,0.945761025935749
"WT","L58201-5M",4,0.743496917946938
"WT","L58201-5M",5,0.719231010477908
"WT","L58201-5M",6,0.925067910054015
"WT","L58201-5M",7,0.779621318719479
"WT","L58201-5M",8,1.01853448956513
"WT","L58201-5M",9,1.15900987992416
"WT","L58201-5M",10,1.22623302147425
