"Genotype","Animal_ID","bin","avg_mfge8_per_cell"
"KO","L57343-2M",1,1026.12341666667
"KO","L57343-2M",2,904.497515151515
"KO","L57343-2M",3,1485.77903174603
"KO","L57343-2M",4,1556.1353020362
"KO","L57343-2M",5,1468.67882048682
"KO","L57343-2M",6,1305.22944347826
"KO","L57343-2M",7,1101.65093082707
"KO","L57343-2M",8,1001.191703125
"KO","L57343-2M",9,994.130692982456
"KO","L57343-2M",10,731.248783333333
"KO","L57343-6M",1,2524.28732142857
"KO","L57343-6M",2,2007.68014903846
"KO","L57343-6M",3,3345.13025986842
"KO","L57343-6M",4,3421.48311428571
"KO","L57343-6M",5,3001.47030952381
"KO","L57343-6M",6,2447.20171237458
"KO","L57343-6M",7,3711.63315151515
"KO","L57343-6M",8,2055.7796745098
"KO","L57343-6M",9,2616.44018939394
"KO","L57343-6M",10,2293.09279545455
"KO","L58201-6F",1,2178.92685714286
"KO","L58201-6F",2,2210.97942857143
"KO","L58201-6F",3,3363.57942857143
"KO","L58201-6F",4,4099.20433333333
"KO","L58201-6F",5,5934.7695
"KO","L58201-6F",6,7176.64766666667
"KO","L58201-6F",7,4595.10025
"KO","L58201-6F",8,2803.8975
"KO","L58201-6F",9,4357.14666666667
"KO","L58201-6F",10,10993.698
"WT","L57343-3M",1,1265.35465800654
"WT","L57343-3M",2,1621.81025606061
"WT","L57343-3M",3,1392.08375719936
"WT","L57343-3M",4,1989.31093636364
"WT","L57343-3M",5,2036.76913819876
"WT","L57343-3M",6,1913.52688293651
"WT","L57343-3M",7,1237.40784644895
"WT","L57343-3M",8,1441.74156075374
"WT","L57343-3M",9,1271.71848796296
"WT","L57343-3M",10,892.811527272727
"WT","L57343-8F",1,1227.485375
"WT","L57343-8F",2,833.206066666667
"WT","L57343-8F",3,845.944347826087
"WT","L57343-8F",4,1277.23365
"WT","L57343-8F",5,1466.84865
"WT","L57343-8F",6,1049.03437037037
"WT","L57343-8F",7,1199.20535
"WT","L57343-8F",8,1193.7979
"WT","L57343-8F",9,847.654125
"WT","L57343-8F",10,520.119235294118
"WT","L58201-5M",1,2580.35243421053
"WT","L58201-5M",2,2973.445875
"WT","L58201-5M",3,3805.328
"WT","L58201-5M",4,10045.0309166667
"WT","L58201-5M",5,8733.93216666667
"WT","L58201-5M",6,2908.36714583333
"WT","L58201-5M",7,4405.2593
"WT","L58201-5M",8,6771.60183333333
"WT","L58201-5M",9,2939.056
