"Genotype","Animal_ID","Bin","mfge8_proportion"
"KO","L57343-2M",1,0.91676553801223
"KO","L57343-2M",2,1.17413525600073
"KO","L57343-2M",3,0.900885278817194
"KO","L57343-2M",4,0.885826412339144
"KO","L57343-2M",5,0.93082048005841
"KO","L57343-2M",6,1.04946609473396
"KO","L57343-2M",7,1.11207447293967
"KO","L57343-2M",8,1.15871132609291
"KO","L57343-2M",9,1.30163365884822
"KO","L57343-2M",10,1.44136168659305
"KO","L57343-6M",1,0.922524487133905
"KO","L57343-6M",2,1.1401230224438
"KO","L57343-6M",3,1.0074775415721
"KO","L57343-6M",4,0.96602304648745
"KO","L57343-6M",5,0.932145559684471
"KO","L57343-6M",6,1.01388562180099
"KO","L57343-6M",7,0.992572633088674
"KO","L57343-6M",8,0.960367842412389
"KO","L57343-6M",9,1.17100007185356
"KO","L57343-6M",10,1.29561525608067
"KO","L58201-6F",1,0.814867209054745
"KO","L58201-6F",2,1.10462391989817
"KO","L58201-6F",3,0.962115836241934
"KO","L58201-6F",4,0.950554183596707
"KO","L58201-6F",5,0.99048570101997
"KO","L58201-6F",6,1.01427367621479
"KO","L58201-6F",7,1.08553678141398
"KO","L58201-6F",8,1.01282928584788
"KO","L58201-6F",9,1.19717670358202
"KO","L58201-6F",10,1.44218458377953
"WT","L57343-3M",1,1.04153956315447
"WT","L57343-3M",2,1.14910698249323
"WT","L57343-3M",3,1.04459403078169
"WT","L57343-3M",4,0.971214225963158
"WT","L57343-3M",5,0.93053328526705
"WT","L57343-3M",6,1.00177243570014
"WT","L57343-3M",7,0.903938984741711
"WT","L57343-3M",8,0.96494679334273
"WT","L57343-3M",9,0.987428955488985
"WT","L57343-3M",10,1.15834917772394
"WT","L57343-8F",1,0.987039845581139
"WT","L57343-8F",2,1.12987729215497
"WT","L57343-8F",3,1.03350337791259
"WT","L57343-8F",4,0.926099545015855
"WT","L57343-8F",5,0.94926237418999
"WT","L57343-8F",6,0.933682614090721
"WT","L57343-8F",7,0.898938370329519
"WT","L57343-8F",8,0.918792223907349
"WT","L57343-8F",9,1.04108644698745
"WT","L57343-8F",10,1.38825313663312
