"Genotype","Animal_ID","bin","avg_tnc_per_cell"
"KO","L57343-2M",1,559.854066666667
"KO","L57343-2M",2,423.887
"KO","L57343-2M",3,551.311652173913
"KO","L57343-2M",4,393.808071428571
"KO","L57343-2M",5,453.028
"KO","L57343-2M",6,382.640052631579
"KO","L57343-2M",7,214.238916666667
"KO","L57343-2M",8,252.338785714286
"KO","L57343-2M",9,235.057111111111
"KO","L57343-6M",1,579.326035714286
"KO","L57343-6M",2,386.802182539683
"KO","L57343-6M",3,486.035092857143
"KO","L57343-6M",4,734.041824808184
"KO","L57343-6M",5,593.68997008547
"KO","L57343-6M",6,563.383333333333
"KO","L57343-6M",7,542.152540909091
"KO","L57343-6M",8,544.215467171717
"KO","L57343-6M",9,485.264477777778
"KO","L57343-6M",10,532.572872727273
"KO","L58201-6F",1,332.687157342657
"KO","L58201-6F",2,323.062118371212
"KO","L58201-6F",3,398.077499787347
"KO","L58201-6F",4,399.24798747412
"KO","L58201-6F",5,363.376245341615
"KO","L58201-6F",6,317.017203571429
"KO","L58201-6F",7,315.374775613276
"KO","L58201-6F",8,232.387467314815
"KO","L58201-6F",9,327.65423968254
"KO","L58201-6F",10,333.384534992785
"WT","L57343-3M",1,289.481432731482
"WT","L57343-3M",2,301.26929004329
"WT","L57343-3M",3,296.154486111111
"WT","L57343-3M",4,265.573793603198
"WT","L57343-3M",5,257.444384651109
"WT","L57343-3M",6,214.396713507489
"WT","L57343-3M",7,196.62805272525
"WT","L57343-3M",8,194.477381902049
"WT","L57343-3M",9,155.64057037037
"WT","L57343-3M",10,226.046900793651
"WT","L57343-8F",1,1218.527
"WT","L57343-8F",2,1649.668
"WT","L57343-8F",3,511.2035
"WT","L57343-8F",4,676.0734
"WT","L57343-8F",5,411.2871
"WT","L57343-8F",6,726.97
"WT","L57343-8F",7,864.94575
"WT","L57343-8F",8,702.4164
"WT","L57343-8F",9,1524.0865
"WT","L57343-8F",10,857.063333333333
