new_names,old_names,Animal,Sex,Genotype,Age,Set
L40720_1M,L49501-1F,L40720_1M,M,KO,21,2
L40720_2M,L40720_2M,L40720_2M,M,WT,21,2
L40720_5F,L40720_5F,L40720_5F,F,KO,21,2
L40720_7F,L40720_7F,L40720_7F,F,WT,21,2
L41180_2F,L41180_2F,L41180_2F,F,WT,21,2
L41180_3F,L41180_3F,L41180_3F,F,KO,21,2
L50981_1F,L50981_1F,L50981_1F,F,KO,21,2
L50981_3F,L50981_3F,L50981_3F,F,KO,21,2
L50981_4F,L50981_4F,L50981_4F,F,WT,21,2
L50981_5M,L50981_5M,L50981_5M,M,WT,21,2
L52184_1M,L52184_1M,L52184_1M,M,KO,21,2
L52184_3M,L52184_3M,L52184_3M,M,WT,21,2
L38102-3,L38102-3_,L38102-3,M,WT,21,1
L38102-4,L38102-4_,L38102-4,M,KO,21,1
L38102-10,L38102-10,L38102-10,F,KO,21,1
L38102-11,L38102-11,L38102-11,F,WT,21,1
