file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,3782,1208493.879296,125.0
Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,4104,1208493.879296,136.0
Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,4048,1208493.879296,134.0
Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.csv,3749,1208493.879296,124.0
Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,3524,1208493.879296,117.0
Seg_NeuN_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,3348,1208493.879296,111.0
Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,3758,1208493.879296,124.0
Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,3782,1208493.879296,125.0
Seg_NeuN_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,3716,1208493.879296,123.0
Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,4196,1208493.879296,139.0
Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,3972,1208493.879296,131.0
Seg_NeuN_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,4031,1208493.879296,133.0
